framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,2,1536,16,16,256,1,bfloat16,bfloat16,0,0.04930666585763296
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,2,128,64,8,256,1,bfloat16,bfloat16,0,0.011098666737476984
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,4096,32,2,128,1,bfloat16,bfloat16,0,2.77021853129069
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,64,1536,16,2,256,1,bfloat16,bfloat16,0,1.0097013314565022
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,8192,64,64,256,1,bfloat16,bfloat16,0,1.1782026290893555
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,6144,4,4,256,1,bfloat16,bfloat16,0,0.10713600118954976
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,4,12288,40,40,128,1,bfloat16,bfloat16,0,3.4687573115030923
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,8,2048,8,8,256,1,bfloat16,bfloat16,0,0.12753066420555115
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,16,1,1,128,1,bfloat16,bfloat16,0,0.009098666409651438
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,4,10240,4,1,256,1,bfloat16,bfloat16,0,0.5892320076624552
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,16,24,4,128,1,bfloat16,bfloat16,0,0.009061333412925402
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,2,16,24,24,128,1,bfloat16,bfloat16,0,0.009088000282645226
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,64,2048,8,2,256,1,bfloat16,bfloat16,0,0.7123626867930094
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,128,512,48,2,256,1,bfloat16,bfloat16,0,1.2117973168690999
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,64,32,16,2,256,1,bfloat16,bfloat16,0,0.025834667185942333
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,16,1,8,1,256,1,bfloat16,bfloat16,0,0.006911999856432279
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,1,32,8,128,1,bfloat16,bfloat16,0,0.007071999832987785
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,32,2,1,256,1,bfloat16,bfloat16,0,0.008746666833758354
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,64,512,12,2,128,1,bfloat16,bfloat16,0,0.11171733339627583
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,2048,2,2,128,1,bfloat16,bfloat16,0,0.08057066798210144
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,16,64,1,128,1,bfloat16,bfloat16,0,0.048656001687049866
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,64,48,2,256,1,bfloat16,bfloat16,0,0.01007466639081637
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,64,32,8,4,256,1,bfloat16,bfloat16,0,0.017152000218629837
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,2,2048,32,4,256,1,bfloat16,bfloat16,0,0.11193600296974182
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,32,16,1,128,1,bfloat16,bfloat16,0,0.018917333334684372
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,16,64,4,4,256,1,bfloat16,bfloat16,0,0.008725333337982496
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,8,256,4,4,256,1,bfloat16,bfloat16,0,0.010981333752473196
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,4,16384,8,1,128,1,bfloat16,bfloat16,0,1.247653325398763
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,4,16,12,4,128,1,bfloat16,bfloat16,0,0.008656000097592672
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,32,32,2,256,1,bfloat16,bfloat16,0,0.00878399983048439
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,6144,16,2,256,1,bfloat16,bfloat16,0,0.2105813423792521
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,8,1024,4,2,128,1,bfloat16,bfloat16,0,0.02130666623512904
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,1,16384,48,8,256,1,bfloat16,bfloat16,0,3.1806507110595703
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,16,32,48,1,256,1,bfloat16,bfloat16,0,0.023311999936898548
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,16,128,1,1,256,1,bfloat16,bfloat16,0,0.010832000523805618
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,32,16,8,8,256,1,bfloat16,bfloat16,0,0.012741333494583765
VLLM,0.20.0,NVIDIA B300 SXM6 AC,context_attention,vllm_flashinfer,4,1536,16,1,256,1,bfloat16,bfloat16,0,0.07994666695594788
