phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,14,11198987438912022232,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,1621.467
context,sweep,16,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,195.673
context,sweep,17,11198987438912022232,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,76.563
context,sweep,18,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.713
context,sweep,19,11198987438912022232,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.576
context,sweep,20,11198987438912022232,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.211
context,sweep,21,11198987438912022232,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,74.985
context,sweep,22,11198987438912022232,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.501
context,sweep,23,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,131.603
context,sweep,24,11198987438912022232,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.969
context,sweep,25,11198987438912022232,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,75.183
context,sweep,26,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,124.420
context,sweep,33,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,121.841
decode,sweep,34,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,187.584
decode,sweep,35,11198987438912022232,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.823
decode,sweep,36,11198987438912022232,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.883
decode,sweep,37,11198987438912022232,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.946
decode,sweep,38,11198987438912022232,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,9.870
decode,sweep,39,11198987438912022232,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.831
decode,sweep,40,11198987438912022232,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,9.748
context,sweep,47,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,123.094
decode,sweep,49,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,1524.870
decode,sweep,50,11198987438912022232,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,244.927
decode,sweep,51,11198987438912022232,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.953
decode,sweep,52,11198987438912022232,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.982
decode,sweep,53,11198987438912022232,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.011
decode,sweep,54,11198987438912022232,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.965
decode,sweep,55,11198987438912022232,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.131
context,sweep,62,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.645
decode,sweep,63,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,1,4096,0.000,0,0,0.000,117.407
mixed,sweep,64,11198987438912022232,0,8191,2,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,678.307
mixed,sweep,65,11198987438912022232,0,4097,2,4095,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,794.479
decode,sweep,66,11198987438912022232,0,0,0,0,0.000,4,16388,1.500,0,0,0.000,0,0,0.000,245.587
decode,sweep,67,11198987438912022232,0,0,0,0,0.000,4,16392,1.500,0,0,0.000,0,0,0.000,11.607
decode,sweep,68,11198987438912022232,0,0,0,0,0.000,4,16396,1.500,0,0,0.000,0,0,0.000,11.593
decode,sweep,69,11198987438912022232,0,0,0,0,0.000,4,16400,1.500,0,0,0.000,0,0,0.000,11.806
decode,sweep,70,11198987438912022232,0,0,0,0,0.000,3,12301,0.222,0,0,0.000,0,0,0.000,11.580
decode,sweep,71,11198987438912022232,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,11.693
decode,sweep,72,11198987438912022232,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,11.824
context,sweep,79,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,123.532
decode,sweep,80,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,9.887
decode,sweep,81,11198987438912022232,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.916
decode,sweep,82,11198987438912022232,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.943
decode,sweep,83,11198987438912022232,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.027
decode,sweep,84,11198987438912022232,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,9.993
decode,sweep,85,11198987438912022232,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.968
decode,sweep,86,11198987438912022232,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.048
context,sweep,93,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,121.861
decode,sweep,94,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,171.063
decode,sweep,95,11198987438912022232,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,10.044
decode,sweep,96,11198987438912022232,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.938
decode,sweep,97,11198987438912022232,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.979
decode,sweep,98,11198987438912022232,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,9.972
decode,sweep,99,11198987438912022232,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.964
decode,sweep,100,11198987438912022232,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.068
context,sweep,107,11198987438912022232,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,123.959
decode,sweep,108,11198987438912022232,0,0,0,0,0.000,1,4096,0.000,1,4096,0.000,0,0,0.000,117.401
mixed,sweep,109,11198987438912022232,0,8191,2,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,309.024
mixed,sweep,110,11198987438912022232,0,4097,2,4095,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,337.471
decode,sweep,111,11198987438912022232,0,0,0,0,0.000,4,16388,1.500,0,0,0.000,0,0,0.000,120.820
